,Symbol,ShortVolume,ShortExemptVolume,TotalVolume
20110815,A,533450,0,1195145
20110815,AA,1974420,19400,5107771
20110815,AACC,100,0,2000
20110815,AAN,45622,0,195558
20110815,AAON,9690,0,12036
20110815,AAP,113222,0,155158
20110815,AAPL,2690952,8290,5285157
20110815,AAR,7800,0,17200
20110815,AAT,8638,0,15541
20110815,AATI,54693,0,2455063
20110815,AAU,10500,0,74351
20110815,AAV,19675,1800,53522
20110815,AAWW,4601,0,14647
20110815,AAXJ,20093,0,26739
20110815,AB,10602,0,106800
20110815,ABAT,884787,0,1984062
20110815,ABAX,23458,0,28983
20110815,ABB,98246,200,332211
20110815,ABBC,400,0,2500
20110815,ABC,311678,0,548881
20110815,ABCB,12141,0,35340
20110815,ABCD,2881,0,11642
20110815,ABCO,2369,0,4316
20110815,ABCS,900,0,1080
20110815,ABCW,400,0,1760
20110815,ABD,10313,100,21818
20110815,ABFS,60730,0,138742
20110815,ABG,12970,200,27903
20110815,ABH,108171,0,182311
20110815,ABIO,5500,0,16267
20110815,ABM,9860,0,16433
20110815,ABMD,49031,0,68351
20110815,ABR,3400,0,6685
20110815,ABT,751041,500,1666919
20110815,ABTL,6700,0,28400
20110815,ABV,287389,600,545581
20110815,ABV.C,270,0,370
20110815,ABVA,1282,0,3082
20110815,ABVT,8390,0,20347
20110815,ABWpA,1900,0,4205
20110815,ABX,466784,9802,1965104
20110815,ACAD,11257,0,66767
20110815,ACAS,631496,0,1399988
20110815,ACAT,4000,0,8537
20110815,ACC,35557,0,133181
20110815,ACCL,6402,0,9330
20110815,ACE,98384,200,237781
20110815,ACET,9694,0,47994
20110815,ACFC,100,0,1026
20110815,ACFN,46078,0,117485
20110815,ACG,69167,0,296583
20110815,ACGL,124907,0,269951
20110815,ACH,9610,0,25207
20110815,ACHN,65961,0,138791
20110815,ACI,540348,0,1075776
20110815,ACIW,7547,0,49659
20110815,ACLS,197415,0,493002
20110815,ACM,59689,0,263580
20110815,ACMR,11500,0,15042
20110815,ACN,288268,0,905007
20110815,ACO,9880,0,18671
20110815,ACOM,110924,0,180495
20110815,ACOR,73430,0,191208
20110815,ACP,3220,0,11951
20110815,ACPW,86543,0,203241
20110815,ACTG,69400,0,150226
20110815,ACTS,300,0,5600
20110815,ACTV,3957,0,24667
20110815,ACU,997,0,2997
20110815,ACUR,53297,0,131524
20110815,ACW,48752,0,169711
20110815,ACWI,21918,0,33225
20110815,ACWX,16700,0,216280
20110815,ACXM,59409,0,277536
20110815,ACY,400,0,2400
20110815,ADAT,3000,0,30421
20110815,ADBE,255085,100,821430
20110815,ADC,5902,0,9326
20110815,ADES,500,0,11558
20110815,ADGE,500,0,4900
20110815,ADGF,12380,0,22276
20110815,ADI,279766,0,995054
20110815,ADK,2600,0,7394
20110815,ADLR,91200,0,183482
20110815,ADM,467784,0,1531674
20110815,ADP,169269,0,385884
20110815,ADPI,1309,0,3109
20110815,ADRA,600,0,3645
20110815,ADRD,1400,0,2538
20110815,ADRE,18154,0,29405
20110815,ADRU,500,0,2010
20110815,ADS,167244,0,341859
