"Positionsinhaber","Emittent","ISIN","Position","Datum"
"Qube Research & Technologies Limited","Logitech International SA","CH0025751329","0,73","2023-05-01"
"POINT72 EUROPE (LONDON) LLP","ProSiebenSat.1 Media SE","DE000PSM7770","0,53","2023-05-01"
"Point72 Asset Management, L.P.","Siltronic AG","DE000WAF3001","1,90","2023-05-01"
"Citadel Asia Limited","Keio Corporation","JP3277800003","1,01","2023-05-01"
"Citadel Asia Limited","T&D Holdings Inc.","JP3539220008","1,10","2023-05-01"
"Citadel Asia Limited","DISCO Corporation","JP3548600000","1,10","2023-05-01"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","1,01","2023-05-01"
"Citadel Advisors LLC","Broadridge Financial Solutions, Inc.","US11133T1034","0,53","2023-05-01"
"Citadel Advisors LLC","Evergy, Inc.","US30034W1062","0,61","2023-05-01"
"Squarepoint Ops LLC","Predictive Oncology Inc","US74039M3097","0,63","2023-05-01"
"Qube Research & Technologies Limited","Hypoport SE","DE0005493365","0,59","2023-04-28"
"Marshall Wace LLP","Aurubis AG","DE0006766504","0,81","2023-04-28"
"Qube Research & Technologies Limited","Gerresheimer AG","DE000A0LD6E6","0,69","2023-04-28"
"Citadel Advisors Europe Limited","HelloFresh SE","DE000A161408","0,63","2023-04-28"
"Qube Research & Technologies Limited","LEG Immobilien SE","DE000LEG1110","0,86","2023-04-28"
"Qube Research & Technologies Limited","ProSiebenSat.1 Media SE","DE000PSM7770","0,56","2023-04-28"
"Citadel Advisors LLC","Allegion plc","IE00BFRT3W74","1,29","2023-04-28"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","0,98","2023-04-28"
"Marshall Wace LLP","Aroundtown SA","LU1673108939","0,61","2023-04-28"
"Squarepoint Ops LLC","ContextLogic Inc","US21077C3051","1,98","2023-04-28"
"Citadel Advisors LLC","Evergy, Inc.","US30034W1062","0,59","2023-04-28"
"Citadel Advisors LLC","Northern Trust Corporation","US6658591044","0,51","2023-04-28"
"Squarepoint Ops LLC","Predictive Oncology Inc","US74039M3097","0,51","2023-04-28"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,49","2023-04-27"
"Citadel Advisors Europe Limited","PUMA SE","DE0006969603","0,48","2023-04-27"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","1,43","2023-04-27"
"Pictet Asset Management SA","Deutsche Pfandbriefbank AG","DE0008019001","0,47","2023-04-27"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,60","2023-04-27"
"Gladstone Capital Management LLP","GRENKE AG","DE000A161N30","0,47","2023-04-27"
"Citadel Advisors LLC","DIC Asset AG","DE000A1X3XX4","0,59","2023-04-27"
"Citadel Advisors LLC","Friedrich Vorwerk Group SE","DE000A255F11","0,69","2023-04-27"
"Marshall Wace LLP","Delivery Hero SE","DE000A2E4K43","0,92","2023-04-27"
"Qube Research & Technologies Limited","Software Aktiengesellschaft","DE000A2GS401","0,59","2023-04-27"
"POINT72 EUROPE (LONDON) LLP","TeamViewer SE","DE000A2YN900","0,78","2023-04-27"
"SIH Partners, LLLP","Nagarro SE","DE000A3H2200","1,78","2023-04-27"
"Qube Research & Technologies Limited","flatexDEGIRO AG","DE000FTG1111","1,16","2023-04-27"
"Citadel Advisors LLC","Allegion plc","IE00BFRT3W74","1,33","2023-04-27"
"Citadel Asia Limited","T&D Holdings Inc.","JP3539220008","1,05","2023-04-27"
"Citadel Asia Limited","Macnica Holdings, Inc.","JP3862960006","1,00","2023-04-27"
"Citadel Advisors LLC","Voya Financial, Inc.","US9290891004","0,45","2023-04-27"
"Marshall Wace LLP","Deutsche Börse Aktiengesellschaft","DE0005810055","0,51","2023-04-26"
"LMR Partners LLP","MorphoSys AG","DE0006632003","0,50","2023-04-26"
"Citadel Advisors Europe Limited","PUMA SE","DE0006969603","0,53","2023-04-26"
"Qube Research & Technologies Limited","Rheinmetall Aktiengesellschaft","DE0007030009","0,56","2023-04-26"
"Park West Asset Management LLC","Heidelberger Druckmaschinen Aktiengesellschaft","DE0007314007","0,94","2023-04-26"
"Qube Research & Technologies Limited","thyssenkrupp AG","DE0007500001","1,37","2023-04-26"
"Millennium Capital Partners LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,50","2023-04-26"
"POINT72 EUROPE (LONDON) LLP","Deutsche Pfandbriefbank AG","DE0008019001","0,47","2023-04-26"
"Qube Research & Technologies Limited","TAG Immobilien AG","DE0008303504","0,99","2023-04-26"
"Citadel Advisors LLC","Nordex SE","DE000A0D6554","0,59","2023-04-26"
"Qube Research & Technologies Limited","Gerresheimer AG","DE000A0LD6E6","0,53","2023-04-26"
"SIH Partners, LLLP","Northern Data AG","DE000A0SMU87","1,48","2023-04-26"
